Show Name,Theatre Name,Start Date,End Date,Link
"A celebration of the work of Michael Folkard as a scenic designer","newventure.org.uk","Saturday 10 May 202510:00 am – 6:00 pmNVT South HallDrop in event - free entry","","https://newventure.org.uk/undefined"
"Fish 'n' Chip Supper & Quiz","newventure.org.uk","Friday 6th June 7pm to 11:30pm","","https://newventure.org.uk/undefined"
"Viagra Boys","www.academymusicgroup.com","06","","https://www.academymusicgroup.com/o2academybrixton/events/1554319/viagra-boys-tickets"
"Beirut","www.academymusicgroup.com","08","","https://www.academymusicgroup.com/o2academybrixton/events/1540833/beirut-tickets"
"Greentea Peng","www.academymusicgroup.com","09","","https://www.academymusicgroup.com/o2academybrixton/events/1555229/greentea-peng-tickets"
"Elvana: Elvis Fronted Nirvana + Punk Rock Factory","www.academymusicgroup.com","10","","https://www.academymusicgroup.com/o2academybrixton/events/1479157/elvana-elvis-fronted-nirvana-tickets"
"HWASA","www.academymusicgroup.com","12","","https://www.academymusicgroup.com/o2academybrixton/events/1574578/hwasa-tickets"
"Pixies","www.academymusicgroup.com","16","","https://www.academymusicgroup.com/o2academybrixton/events/1512599/pixies-tickets"
"Pixies","www.academymusicgroup.com","17","","https://www.academymusicgroup.com/o2academybrixton/events/1512604/pixies-tickets"
"Hurts: 15 Years of Happiness","www.academymusicgroup.com","22","","https://www.academymusicgroup.com/o2academybrixton/events/1525345/hurts-15-years-happiness-tickets-0"
"Wet Leg","www.academymusicgroup.com","23","","https://www.academymusicgroup.com/o2academybrixton/events/1578684/wet-leg-tickets"
"Wet Leg","www.academymusicgroup.com","24","","https://www.academymusicgroup.com/o2academybrixton/events/1581710/wet-leg-tickets"
"Leftfield","www.academymusicgroup.com","30","","https://www.academymusicgroup.com/o2academybrixton/events/1554278/leftfield-tickets"
"Leftfield","www.academymusicgroup.com","31","","https://www.academymusicgroup.com/o2academybrixton/events/1554287/leftfield-tickets-0"
"Romeo and Juliet","www.shakespearesglobe.com","10 May","2 August","https://www.shakespearesglobe.com/whats-on/romeo-and-juliet/"
"The Crucible","www.shakespearesglobe.com","8 May","12 July","https://www.shakespearesglobe.com/whats-on/the-crucible/"
"The Merry Wives of Windsor","www.shakespearesglobe.com","4 July","20 September","https://www.shakespearesglobe.com/whats-on/the-merry-wives-of-windsor/"
"Twelfth Night or What You Will","www.shakespearesglobe.com","8 August","25 October","https://www.shakespearesglobe.com/whats-on/twelfth-night/"
"Troilus and Cressida","www.shakespearesglobe.com","26 September","26 October","https://www.shakespearesglobe.com/whats-on/troilus-and-cressida/"
"A Midsummer Night's Dream: For One Night Only","www.shakespearesglobe.com","14 September","","https://www.shakespearesglobe.com/whats-on/a-midsummer-nights-dream-for-one-night-only/"
"Rough Magic","www.shakespearesglobe.com","19 July","23 August","https://www.shakespearesglobe.com/whats-on/rough-magic/"
"The Globe Talks: Romeo and Juliet","www.shakespearesglobe.com","23 May","","https://www.shakespearesglobe.com/whats-on/the-globe-talks-romeo-and-juliet/"
"The Globe Talks: The Crucible","www.shakespearesglobe.com","29 May","","https://www.shakespearesglobe.com/whats-on/the-globe-talks-the-crucible/"
"The Globe Talks: Shakespeare and Wellbeing","www.shakespearesglobe.com","4 June","","https://www.shakespearesglobe.com/whats-on/the-globe-talks-shakespeare-and-wellbeing/"
"The Globe Talks: The Merry Wives of Windsor","www.shakespearesglobe.com","25 July","","https://www.shakespearesglobe.com/whats-on/the-globe-talks-the-merry-wives-of-windsor/"
"The Globe Talks: Twelfth Night","www.shakespearesglobe.com","11 September","","https://www.shakespearesglobe.com/whats-on/the-globe-talks-twelfth-night/"
"The Globe Talks: Troilus and Cressida","www.shakespearesglobe.com","22 October","","https://www.shakespearesglobe.com/whats-on/the-globe-talks-troilus-and-cressida/"
"Globe Theatre Guided Tour","www.shakespearesglobe.com","5 May","31 October","https://www.shakespearesglobe.com/whats-on/globe-theatre-guided-tour/"
"Pride Guided Tour","www.shakespearesglobe.com","5 May","27 October","https://www.shakespearesglobe.com/whats-on/guided-tour-pride/"
"Shakespeare's Walking Tour","www.shakespearesglobe.com","5 May","2 November","https://www.shakespearesglobe.com/whats-on/shakespeares-walking-tour/"
"Ghosts & Ghouls Family Tour","www.shakespearesglobe.com","10 May","2 November","https://www.shakespearesglobe.com/whats-on/ghosts-and-ghouls-family-tour/"
"Shakespeare's True Crimes Walking Tour","www.shakespearesglobe.com","10 May","25 October","https://www.shakespearesglobe.com/whats-on/shakespeares-true-crimes-walking-tour/"
"Heaven to Hell Tour","www.shakespearesglobe.com","11 May","18 October","https://www.shakespearesglobe.com/whats-on/heaven-to-hell-tour/"
"Macbeth: 9 – 11 years Family Workshop","www.shakespearesglobe.com","23 July","23 August","https://www.shakespearesglobe.com/whats-on/macbeth-family-workshop-9-11-years/"
"Ghosts & Ghouls Family Tour","www.shakespearesglobe.com","10 May","2 November","https://www.shakespearesglobe.com/whats-on/ghosts-and-ghouls-family-tour/"
"Family Sword Fighting Demonstration","www.shakespearesglobe.com","28 June","2 November","https://www.shakespearesglobe.com/whats-on/sword-fighting-demonstration/"
"Research in Action: Twelfth Night Rediscovered","www.shakespearesglobe.com","3 June","","https://www.shakespearesglobe.com/whats-on/research-in-action-twelfth-night-rediscovered/"
"Othello: Study Day","www.shakespearesglobe.com","21 June","","https://www.shakespearesglobe.com/whats-on/othello-study-day/"
"Twelfth Night: Study Day","www.shakespearesglobe.com","16 August","11 October","https://www.shakespearesglobe.com/whats-on/twelfth-night-study-day/"
"Romeo and Juliet: Study Day","www.shakespearesglobe.com","17 May","26 July","https://www.shakespearesglobe.com/whats-on/romeo-juliet-study-day/"
"Research in Action: 30 Years of Research","www.shakespearesglobe.com","10 September","","https://www.shakespearesglobe.com/whats-on/research-in-action-30-years-of-research/"
"Research in Action: Global Early Modern Stage","www.shakespearesglobe.com","23 October","","https://www.shakespearesglobe.com/whats-on/research-in-action-global-early-modern-stage/"
"Young Actors Short Course (11-13 years)","www.shakespearesglobe.com","27 May","4 August","https://www.shakespearesglobe.com/whats-on/young-actors-short-course-11-13-years/"
"Young Actors Short Course (8–10 years)","www.shakespearesglobe.com","27 May","4 August","https://www.shakespearesglobe.com/whats-on/young-actors-short-course-8-10-years/"
"Macbeth: On Stage Workshop (12-14 years)","www.shakespearesglobe.com","24 - 31 May","","https://www.shakespearesglobe.com/whats-on/macbeth-on-stage-workshop-12-14-years/"
"Shakespeare's Walking Tour","www.shakespearesglobe.com","5 May","2 November","https://www.shakespearesglobe.com/whats-on/shakespeares-walking-tour/"
"Globe Theatre Guided Tour","www.shakespearesglobe.com","5 May","31 October","https://www.shakespearesglobe.com/whats-on/globe-theatre-guided-tour/"
"Pride Guided Tour","www.shakespearesglobe.com","5 May","27 October","https://www.shakespearesglobe.com/whats-on/guided-tour-pride/"
"CPD: Teaching Anti-Racist Shakespeare","www.shakespearesglobe.com","25 September","","https://www.shakespearesglobe.com/whats-on/anti-racist-shakespeare-cpd/"
"Online CPD: Teaching Shakespeare and Sexuality","www.shakespearesglobe.com","13 October","","https://www.shakespearesglobe.com/whats-on/online-cpd-shakespeare-and-sexuality/"
"CPD: Teaching Shakespeare and Women","www.shakespearesglobe.com","23 June","","https://www.shakespearesglobe.com/whats-on/cpd-shakespeare-women/"
"Continuing Professional Development: Teaching Romeo and Juliet at KS4","www.shakespearesglobe.com","12 June","","https://www.shakespearesglobe.com/whats-on/continuing-professional-development-teaching-romeo-and-juliet-at-ks4/"
"CPD: Teaching Othello at Key Stage 5 | Shakespeare's Globe","www.shakespearesglobe.com","3 July","","https://www.shakespearesglobe.com/whats-on/continuing-professional-development-teaching-othello-at-key-stage-5/"
